PART_NUMBER,QTN_REV_3D,MEAN_SIZE_3D,DRAWING_CODE,ATP,QTN_REV_2D,MEAN_SIZE_2D,QTY_SHEETS,QTY_DIMENSIONS,QTY_VIEWS,QTY_PART_LIST,QTY_TEXT_INFORMATION,LEAD_TIME_1,TRIM_AND_FINISH,LEAD_TO_RELEASE,QTY_ECN_2D
D876012-531,1,272657,PL,F49-1-AFR1,1,2425789,2,50,13,172,390,78,0,78,0
D724203-511,1,117358,DA,F49-1-AFR1,1,847991,1,8,6,28,149,63,0,63,0
D724161-9,1,270662,NM,F49-1-AFR1,1,567630,1,11,5,0,124,63,0,63,0
D746600-537,2,483128,IN,F49-1-AFR1,2,7978919,3,0,16,286,181,,-1,-225,1
D757001-629,1,741465,TA,F49-1-AFR1,1,31434994,2,11,22,917,359,73,-1,73,0
D747001-107,7,2798632,IN,F49-1-AFR1,7,36890728,5,13,30,1756,536,76,-1,76,7
D876071-9,1,180866,EX,F49-1-AFR1,1,624976,1,13,6,0,132,78,0,78,0
D875059-543,1,54620,PL,F49-1-AFR1,1,846653,1,15,5,12,142,78,0,78,0
D711352-3,1,209122,NM,F49-1-AFR1,1,567966,1,9,5,0,125,63,0,63,0
D735301-535,1,17315,SA,F49-1-AFR1,1,546612,1,5,5,2,132,56,0,56,0
D711351-3,1,148532,NM,F49-1-AFR1,1,599498,1,9,5,0,126,63,0,63,0
D745301-543,1,100264,SA,F49-1-AFR1,1,2347008,1,3,7,83,136,49,0,49,0
D875104-621,1,78007,BS,F49-1-AFR1,1,721568,1,11,6,33,129,78,0,78,0
D751001-789,1,1831145,TA,F49-1-AFR1,1,30248608,4,22,26,881,479,69,-1,69,0
D757610-503,1,199614,SA,F49-1-AFR1,1,1236307,1,3,8,85,160,73,-1,73,0
D751170-505,1,24497,SA,F49-1-AFR1,1,591137,1,9,5,2,129,69,0,69,0
D875104-521,1,115129,SA,F49-1-AFR1,1,1101877,1,5,8,103,146,78,-1,78,0
D751225-35,1,135435,NM,F49-1-AFR1,1,550705,1,7,5,0,123,78,0,78,0
D876001-127,3,1354308,TA,F49-1-AFR1,3,3979542,1,0,3,841,98,63,-1,-114,3
D746602-521,1,18272,SA,F49-1-AFR1,1,676349,1,3,5,2,128,61,-1,61,0
D745160-501,2,81727,SA,F49-1-AFR1,2,3428930,3,12,14,82,312,163,-1,-15,1
D745164-525,2,111080,SA,F49-1-AFR1,2,6976818,2,55,21,64,312,41,-1,41,1
D724153-9,1,239581,EX,F49-1-AFR1,1,606541,1,17,5,0,125,63,0,63,0
D751225-537,1,26823,SA,F49-1-AFR1,1,691332,1,16,7,3,133,73,0,73,0
D751225-37,1,273181,NM,F49-1-AFR1,1,567317,1,7,5,0,123,73,0,73,0
D735301-537,1,17118,SA,F49-1-AFR1,1,548815,1,5,5,2,132,56,0,56,0
D735301-527,1,16762,SA,F49-1-AFR1,1,548487,1,5,5,2,131,56,0,56,0
D751061-555,1,441813,PL,F49-1-AFR1,1,3171860,2,53,14,229,448,69,0,69,0
D724001-117,2,1226827,TA,F49-1-AFR1,2,497971,1,0,2,1475,94,28,-1,-20,5
D751170-5,1,149951,NM,F49-1-AFR1,1,540337,1,7,5,0,125,69,0,69,0
D745165-519,2,131966,SA,F49-1-AFR1,2,603687,1,2,4,76,228,163,-1,-15,1
D724009-511,1,58105,IN,F49-1-AFR1,1,6934214,1,17,7,36,155,63,0,63,0
D735301-525,1,17204,SA,F49-1-AFR1,1,585066,1,7,6,2,136,56,0,56,0
D745161-513,2,75929,SA,F49-1-AFR1,2,5458825,2,34,15,71,248,163,-1,-15,1
D745166-531,1,20135,SA,F49-1-AFR1,1,791872,1,11,7,5,140,41,-1,41,0
D745166-533,1,21691,SA,F49-1-AFR1,1,860662,1,11,7,3,138,41,-1,41,0
D712002-109,3,7393631,IN,F49-1-AFR1,3,33686165,2,0,7,2748,136,,-1,-156,2
D735301-533,1,17627,SA,F49-1-AFR1,1,572458,1,5,6,2,133,56,0,56,0
D735301-529,1,18722,SA,F49-1-AFR1,1,540252,1,4,5,2,131,56,0,56,0
D751225-535,1,22948,SA,F49-1-AFR1,1,679756,1,15,7,4,138,78,0,78,0
D751004-789,1,447706,BS,F49-1-AFR1,1,3986094,3,32,17,422,338,69,0,69,0
D757410-503,1,62585,BS,F49-1-AFR1,1,636221,1,7,6,29,126,73,0,73,0
D751382-545,2,103605,SA,F49-1-AFR01,2,521110,1,0,3,33,95,,0,-316,1
D745001-523,4,1455869,IN,F49-1-AFR1,4,7284549,1,0,4,433,231,48,-1,48,3
D876004-527,1,369259,BS,F49-1-AFR1,1,2469008,2,17,13,390,292,78,0,78,0
D724002-117,4,900558,IN,F49-1-AFR1,4,520520,1,0,2,1011,104,39,-1,39,5
D757410-609,1,27105,PL,F49-1-AFR1,1,706965,1,11,5,7,137,73,0,73,0
D724010-511,1,58716,IN,F49-1-AFR1,1,10609717,1,0,10,33,153,63,0,63,0
